sample	Desulfohalobiaceae	Micrococcaceae	Incertae Sedis XIV	Moraxellaceae	Incertae Sedis XIII	Actinomycetaceae	Neisseriaceae	Sphingomonadaceae	Rubrobacteraceae	Enterobacteriaceae	Aeromonadaceae	Ruminococcaceae	Prevotellaceae	Bacillaceae	Vibrionaceae	Bacteroidaceae	Pasteurellaceae	Erysipelotrichaceae	Brachyspiraceae	Burkholderiaceae	Helicobacteraceae	Microbacteriaceae	Pseudomonadaceae	Porphyromonadaceae	Chromatiaceae	Rhizobiaceae	Coriobacteriaceae	Enterococcaceae	Staphylococcaceae	Flavobacteriaceae	Chloroplast	Veillonellaceae	Rikenellaceae	Succinivibrionaceae	Lactobacillaceae	Lachnospiraceae	Burkholderiales_incertae_sedis	Bradyrhizobiaceae	Streptococcaceae	Alcaligenaceae	Comamonadaceae	Caulobacteraceae	Family I	Pseudoalteromonadaceae	Eubacteriaceae	Peptostreptococcaceae	Fusobacteriaceae	Rhodocyclaceae	Desulfovibrionaceae	Propionibacteriaceae	Oceanospirillaceae	Xanthomonadaceae	Clostridiaceae
D5-604-342_2_1_280control	2	5	560	1	3	0	0	32	0	209	1	967	70	36	3	1479	0	160	0	0	0	1	26	132	1	0	13	0	3	3	52	74	99	3	1	1368	0	4	25	111	6	0	0	1	3	13	0	1	13	15	2	3	8
D5-610-641_1_1_773control	0	3	111	18	3	0	2	241	4	191	4	481	7	167	3	418	7	94	0	11	4	38	139	46	4	31	31	0	1	27	679	26	0	0	252	480	19	33	277	0	120	5	4	6	0	61	0	10	0	12	2	39	6
D5-641-794_2_1_515case	0	1	58	0	7	0	1	51	0	9	2	394	29	1	6	416	0	9	0	0	0	0	2	43	0	0	21	0	0	347	1	26	1	0	0	1080	0	0	9	37	0	0	0	4	1	0	0	1	0	2	4	0	0
D5-647-885_2_1_901control	0	0	134	0	10	0	0	700	0	62	6	682	1	4	8	906	15	1	0	4	0	2	54	51	8	0	48	0	0	12	44	10	2	6	5	1385	4	1	30	3	16	0	0	20	39	12	0	0	0	10	11	2	4
D5-604-698_1_1_684control	0	2	276	34	0	0	0	110	32	18	1	749	298	41	0	1541	0	83	0	22	1	5	7	102	0	2	33	0	7	69	48	60	62	134	10	1757	29	3	11	65	70	1	5	0	18	26	2	5	0	3	2	7	13
D5-633-816_1_1_280case	0	0	784	2	17	1	0	34	3	6	7	1910	1	1	5	3414	6	966	0	3	0	0	5	168	1	3	139	0	4	9	7	288	68	1	7	4844	0	0	22	768	14	1	0	18	1356	2	4	1	0	0	7	1	0
D5-621-847_2_1_773control	0	4	84	1	0	0	6	90	0	38	2	345	8	3	8	893	6	196	0	30	0	0	3	5	8	0	33	0	0	17	11	49	8	0	0	1305	2	6	38	77	16	0	0	19	0	8	0	10	0	4	12	6	0
D5-636-124_2_1_547control	0	0	1409	0	0	0	1	21	0	2	0	3053	0	0	1	2213	0	360	0	0	0	0	18	749	0	0	131	0	2	243	2	128	140	0	1	1634	0	0	40	0	5	0	0	1	8	0	0	0	0	0	2	0	0
D5-621-702_1_1_998control	4	0	83	54	2	0	41	325	33	115	108	389	283	108	90	1018	9	144	0	24	3	20	48	55	34	9	34	0	8	155	103	29	9	37	41	773	35	3	147	26	204	0	3	158	23	25	12	9	12	49	122	26	37
D5-611-413_2_1_19control	0	8	142	52	0	0	0	539	0	84	0	229	194	126	0	205	2	35	0	22	0	5	17	130	0	1	17	0	9	891	53	157	3	0	0	684	5	3	18	23	67	0	0	0	29	2	11	7	0	370	0	5	3
