nc101_code	D2_01	D2_02
NC101_00918	36	7
NC101_00919	105	82
NC101_00920	20	6
NC101_00921	1	0
NC101_00922	25	4
NC101_00923	29	12
NC101_00924	44	14
NC101_00925	26	11
NC101_00926	29	13
NC101_00927	58	20
NC101_00928	90	51
NC101_00929	77	43
NC101_00931	170	42
NC101_00932	61	17
NC101_00933	28	7
NC101_00934	102	54
NC101_00935	1156	468
NC101_00936	77	35
NC101_00937	7	3
NC101_00938	257	59
NC101_00939	263	41
NC101_00940	4	1
NC101_00941	26	10
NC101_00942	32	2
NC101_00943	147	46
NC101_00944	4821	1042
NC101_00945	82	22
NC101_00946	71	53
NC101_00947	49	21
NC101_00948	2794	863
NC101_00949	51	17
NC101_00950	54	16
NC101_00951	58	19
NC101_00952	97	27
NC101_00953	29	20
NC101_00954	22	9
NC101_00955	50	11
NC101_00956	29	7
NC101_00957	1	0
NC101_00958	4	2
NC101_00959	2	2
NC101_00960	0	0
NC101_00961	7	4
NC101_00962	423	82
NC101_00963	87	42
NC101_00964	259	75
NC101_00965	213	34
NC101_00966	697	151
NC101_00967	161	53
NC101_00968	117	64
NC101_00969	794	302
NC101_00970	253	74
NC101_00971	26	7
NC101_00972	49	19
NC101_00973	26	14
NC101_00974	44	7
NC101_00975	489	122
NC101_00976	63	20
NC101_00977	19	4
NC101_00978	23	8
NC101_00979	15	8
NC101_00980	52	13
NC101_00981	43	19
NC101_00982	365	55
NC101_00983	1775	647
NC101_00984	94	47
NC101_00985	22	4
NC101_00986	40	11
NC101_00987	367	60
NC101_00988	25	11
NC101_00989	45	10
NC101_00990	450	69
NC101_00991	4947	795
NC101_00992	178	56
NC101_00993	52	24
NC101_00994	164	33
NC101_00995	310	69
NC101_00996	88	23
NC101_00997	311	105
NC101_00998	630	142
NC101_00999	24	11
NC101_01000	120	28
NC101_01001	309	79
NC101_01002	205	67
NC101_01003	174	61
NC101_01004	40	20
NC101_01005	24	12
NC101_01006	7	4
NC101_01007	114	53
NC101_01008	31	6
NC101_01010	29	7
NC101_01011	37	5
NC101_01012	24	2
NC101_01013	24	7
NC101_01014	0	1
NC101_01015	94	20
NC101_01016	45	17
NC101_01017	3706	993
NC101_01018	579	189
NC101_01019	317	35
NC101_01020	21	11
NC101_01021	48	21
NC101_01022	238	52
NC101_01023	81	17
NC101_01024	21	10
NC101_01025	50	7
NC101_01026	33	3
NC101_01027	218	75
NC101_01028	44	9
NC101_01029	31	12
NC101_01030	23	12
NC101_01031	148	49
NC101_01032	133	31
NC101_01033	92	20
NC101_01034	65	20
NC101_01035	92	21
NC101_01036	11	5
NC101_01037	57	15
NC101_01038	28	5
NC101_01039	6	7
NC101_01040	5	4
NC101_01041	16	1
NC101_01042	4	2
NC101_01043	3	2
NC101_01044	20	15
NC101_01045	26	10
NC101_01046	64	5
NC101_01047	52	14
NC101_01048	19	4
NC101_01049	156	30
NC101_01050	20	17
NC101_01051	54	26
NC101_01052	18	16
NC101_01053	4	1
NC101_01054	4	0
NC101_01055	35	6
NC101_01056	4	0
NC101_01057	0	0
NC101_01058	6	4
NC101_01059	29	12
NC101_01060	16	1
NC101_01061	0	0
NC101_01062	0	2
NC101_01063	0	0
NC101_01064	0	0
NC101_01065	2	2
NC101_01066	3	1
NC101_01067	0	1
NC101_01068	0	0
NC101_01069	0	0
NC101_01070	0	0
NC101_01071	0	0
NC101_01072	0	0
NC101_01073	0	0
NC101_01074	0	0
NC101_01075	2	2
NC101_01076	0	0
NC101_01077	4	0
NC101_01078	0	1
NC101_01079	47	22
NC101_01080	15	6
NC101_01081	2	6
NC101_01082	2	0
NC101_01083	11	2
NC101_01084	0	1
NC101_01085	0	0
NC101_01086	3	0
NC101_01087	0	0
NC101_01088	0	0
NC101_01089	26	0
NC101_01090	0	0
NC101_01091	0	0
NC101_01092	0	0
NC101_01093	24	3
NC101_01094	1	1
NC101_01095	25	17
NC101_01096	4	0
NC101_01097	20	4
NC101_01098	27	7
NC101_01099	13	4
NC101_01100	54	8
NC101_01101	28	20
NC101_01102	7	8
NC101_01103	93	16
NC101_01104	152	30
NC101_01105	24	9
NC101_01106	137	74
NC101_01107	11	10
NC101_01108	7	0
NC101_01109	8	4
NC101_01110	8	2
NC101_01111	5	0
NC101_01112	24	11
NC101_01113	35	4
NC101_01114	29	14
NC101_01115	21	7
NC101_01116	14	7
NC101_01117	40	13
NC101_01118	32	10
NC101_01119	73	33
NC101_01120	17	10
NC101_01121	33	22
NC101_01122	89	53
NC101_01123	25	6
NC101_01124	63	10
NC101_01125	206	74
NC101_01126	34	15
NC101_01127	444	171
NC101_01128	27	13
NC101_01129	2512	998
NC101_01130	337	73
NC101_01131	26	15
NC101_01132	40	11
NC101_01133	47	13
NC101_01134	9	2
NC101_01135	32	6
NC101_01136	10	1
NC101_01137	10	6
NC101_01138	22	15
NC101_01139	127	48
NC101_01140	179	25
NC101_01141	180	43
NC101_01142	55	16
NC101_01143	20	3
NC101_01144	55	11
NC101_01145	51	13
NC101_01146	69	12
NC101_01147	47	2
NC101_01148	30	10
NC101_01149	331	65
NC101_01150	18	7
NC101_01151	12	11
