phylum	class	order	family	genus
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Melissococcus
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas
Firmicutes	Bacilli	Bacillales	Bacillales_Incertae Sedis X	Thermicanus
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Spirochaetes	Spirochaetia	Spirochaetales	Brevinemataceae	Brevinema
Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Calditerrivibrio
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Sarcina
Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfoglaeba
Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Melittangium
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Petrimonas
Fibrobacteres	Chitinivibrionia	Chitinivibrionales	Chitinivibrionaceae	Chitinivibrio
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Sporanaerobacter
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_incertae_sedis
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Allisonella
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Cyclobacteriaceae	Indibacter
Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 3	Brassicibacter
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Marinithermus
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pacificibacter
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sporobacterium
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 2	Anaerovirgula
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Obesumbacterium
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Chlamydiae	Chlamydiia	Chlamydiales	Simkaniaceae	Simkania
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Filimonas
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 2	Natronincola
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Proteiniclasticum
Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella
Thermotogae	Thermotogae	Thermotogales	Thermotogales_incertae_sedis	Oceanotoga
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Kandleria
Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Filobacillus
Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Dolosicoccus
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Cedecea
